id,url,full_name,park_code,description,latitude,longitude,activities,topics,states,designation,cost,entrance,standard_hours,holidays
77E0D7F0-1942-494A-ACE2-9004D2BDC59E,https://www.nps.gov/abli/index.htm,Abraham Lincoln Birthplace National Historical Park,abli,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.",37.5858662,-85.67330523,"['Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hands-On', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Birthplace', 'Presidents', 'Animals', 'Birds', 'Caves, Caverns and Karst', 'Geology', 'Groundwater', 'Freshwater Springs', 'Night Sky']",KY,National Historical Park,0,Entrance - Free,"{'wednesday': '9:00AM - 5:00PM', 'monday': '9:00AM - 5:00PM', 'thursday': '9:00AM - 5:00PM', 'sunday': '9:00AM - 5:00PM', 'tuesday': '9:00AM - 5:00PM', 'friday': '9:00AM - 5:00PM', 'saturday': '9:00AM - 5:00PM'}",['Park is Closed']
6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,Acadia National Park,acad,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 4 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",44.409286,-68.247501,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']","['Arts', 'Painting', 'Photography', 'Poetry and Literature', 'Sculpture', 'Colonization and Settlement', 'Maritime', 'Lighthouses', 'Monuments and Memorials', 'Schools and Education', 'Transportation', 'Bridges', 'Roads, Routes and Highways', 'Tragic Events', 'Catastrophic Fires', ""Women's History"", 'Animals', 'Birds', 'Fish', 'Climate Change', 'Fire', 'Forests and Woodlands', 'Geology', 'Lakes', 'Mountains', 'Night Sky', 'Astronomy', 'Oceans', 'Rock Landscapes and Features', 'Trails', 'Wetlands']",ME,National Park,"['6.00', '35.00', '30.00', '20.00', '0.00', '0.00', '0.00']","['Timed Entry Reservation - Location', 'Entrance - Private Vehicle', 'Entrance - Motorcycle', 'Entrance - Per Person', 'Entrance - Education/Academic Groups', 'Entrance - Non-commercial Groups', 'Commercial Entrance - Per Person']","{'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}",
E4C7784E-66A0-4D44-87D0-3E072F5FEF43,https://www.nps.gov/adam/index.htm,Adams National Historical Park,adam,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesman, philosophers … and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,"['Guided Tours', 'Living History', 'First Person Interpretation', 'Park Film', 'Shopping', 'Bookstore and Park Store']","['American Revolution', ""Women's History""]",MA,National Historical Park,['15.00'],['Timed Entry Reservation - Location'],"{'wednesday': '9:00AM - 5:00PM', 'monday': 'Closed', 'thursday': '9:00AM - 5:00PM', 'sunday': '9:00AM - 5:00PM', 'tuesday': 'Closed', 'friday': '9:00AM - 5:00PM', 'saturday': '9:00AM - 5:00PM'}","['Labor Day Closure', 'Veterans Day Closure', 'Martin Luther King Day Closure', ""President's Day Closure"", ""New Year's Day"", 'Juneteeth Closure 2023', 'Columbus Day Closure', 'Thanksgiving Day Closure', 'Christmas Day Closure']"
1A47416F-DAA3-4137-9F30-14AF86B4E547,https://www.nps.gov/afam/index.htm,African American Civil War Memorial,afam,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.",38.9166,-77.026,"['Guided Tours', 'Self-Guided Tours - Walking']","['African American Heritage', 'Monuments and Memorials', 'Wars and Conflicts', 'Civil War']",DC,,0,Entrance - Free,"{'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}",
E6E1D22A-7A89-47F8-813C-B611059A8CF9,https://www.nps.gov/afbg/index.htm,African Burial Ground National Monument,afbg,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,40.71452681,-74.00447358,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['African American Heritage', 'Archeology', 'Burial, Cemetery and Gravesite', 'Colonization and Settlement', 'Enslavement', 'Monuments and Memorials', 'Social Movements', 'Urban America', ""Women's History""]",NY,National Monument,0,Entrance - Free,"{'wednesday': '10:00AM - 4:00PM', 'monday': 'Closed', 'thursday': '10:00AM - 4:00PM', 'sunday': 'Closed', 'tuesday': '10:00AM - 4:00PM', 'friday': '10:00AM - 4:00PM', 'saturday': '10:00AM - 4:00PM'}","['Juneteenth National Independence Day', 'Memorial Day', 'Christmas Holiday Closure', ""New Year's Day Closure"", ""Washington's Birthday"", 'Columbus Day Closure', 'Birthday of Dr. Martin Luther King, Jr.', 'Independence Day Closure', 'Labor Day', 'Thanksgiving Holiday Closure']"
64B9F127-31ED-43C9-882D-D7CD471AF314,https://www.nps.gov/agfo/index.htm,Agate Fossil Beds National Monument,agfo,"In the early 1900s, paleontologists unearthed the Age of Mammals when they found full skeletons of extinct Miocene mammals in the hills of Nebraska -- species previously only known through fragments. At the same time, an age of friendship began between rancher James Cook and Chief Red Cloud of the Lakota. These two unprecedented events are preserved and protected here... at Agate Fossil Beds.",42.42170419,-103.753886,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['Farming and  Agriculture', 'Ranches', 'Native American Heritage', 'Westward Expansion', 'Homesteading', 'Animals', 'Birds', 'Tortoises and Turtles', 'Fossils and Paleontology', 'Geology', 'Grasslands', 'Prairies', 'Night Sky', 'River and Riparian', 'Rock Landscapes and Features', 'Scenic Views']",NE,National Monument,0,Entrance - Free,"{'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}",
3B8307B3-54AB-4E5F-ACBC-8DECB98AD5F1,https://www.nps.gov/alka/index.htm,Ala Kahakai National Historic Trail,alka,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions). Connect now!",19.144668109,-155.890734294,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']","['Architecture and Building', 'Archeology', 'Ruins', 'Arts', 'Sculpture', 'Explorers and Expeditions', 'Pacific Islander Heritage', 'Religion and Spirituality', 'Heiau', 'Schools and Education', 'Transportation', 'Roads, Routes and Highways', 'Ancient Seas', 'Animals', 'Birds', 'Fish', 'Coasts, Islands and Atolls', 'Forests and Woodlands', 'Rainforest', 'Oceans', 'Coral Reefs', 'Scenic Views', 'Trails', 'The Tropics', 'Volcanoes', 'Waterfalls']",HI,National Historic Trail,0,Entrance - Free,"{'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}",
C4E1A9A4-D121-4734-94FA-7788A93C2AAA,https://www.nps.gov/alag/index.htm,Alagnak Wild River,alag,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.",59.05180188,-156.112002,"['Boating', 'Camping', 'Backcountry Camping', 'Fishing', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Whitewater Rafting', 'Wildlife Watching', 'Birdwatching']","['Archeology', 'Animals', 'Birds', 'Fish', 'Arctic', 'Tundra', 'Groundwater', 'River and Riparian', 'Wetlands', 'Wilderness']",AK,Wild River,0,Entrance - Free,"{'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}",
7D6098F9-3F75-4775-A56D-CD9C7F9A9488,https://www.nps.gov/anch/index.htm,Alaska Public Lands,anch,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.",61.2188,-149.894536,[],[],AK,,0,Entrance - Free,"{'wednesday': '9:00AM - 5:00PM', 'monday': '9:00AM - 5:00PM', 'thursday': '9:00AM - 5:00PM', 'sunday': '9:00AM - 5:00PM', 'tuesday': '9:00AM - 5:00PM', 'friday': '9:00AM - 5:00PM', 'saturday': '9:00AM - 5:00PM'}","['Closed for Thanksgiving Day', 'Winter Hours', ""Closed New Year's Day"", 'Closed for Christmas Day', 'Closed for Veterans Day', 'Closed for Birthday of Maritn Luther King, Jr.', 'Closed for Columbus Day', ""Closed for Washington's Birthday""]"
C08AD828-98FF-478E-A63C-614E7534274B,https://www.nps.gov/alca/index.htm,Alcatraz Island,alca,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",37.82676234,-122.4230206,"['Food', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']","['Colonization and Settlement', 'Forts', 'Incarceration', 'Jails and Prisons', 'Maritime', 'Maritime - Military', 'Lighthouses', 'Medicine', 'Hospital', 'Military', 'US Army', 'Native American Heritage', 'Social Movements', 'Wars and Conflicts', 'Tribal Conflicts', 'Animals', 'Birds']",CA,,0,Entrance - Free,"{'wednesday': '9:00AM - 9:30PM', 'monday': '9:00AM - 6:30PM', 'thursday': '9:00AM - 9:30PM', 'sunday': '9:00AM - 6:30PM', 'tuesday': '9:00AM - 9:30PM', 'friday': '9:00AM - 9:30PM', 'saturday': '9:00AM - 9:30PM'}","['Christmas', 'Thanksgiving', ""New Year's""]"
